UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Rabiddogg,@Rabiddogg,2020-11-25T22:01:11.000Z,"Replying to 
@dbonginoshes somewhat right. Obama/Biden tend to be on the side of Al-Qaeda over the USA and our allies.",,,1,2
Gael,@GaelHodler,2020-11-25T21:55:58.000Z,"Replying to 
@FlareNetworks
 and 
@coinbase@Coinbase
 will list a token for Al-Qaeda before to arrange anything else related to #XRP.",,,,4
Funneee Pets,@FunneeePets,2020-11-25T21:32:03.000Z,"British Military Dog Who Lost a Paw Tackling Al-Qaeda Insurgent Awarded ... https://youtu.be/J2Nu2rHW2Eo via 
@YouTubeBritish Military Dog Who Lost a Paw Tackling Al-Qaeda Insurgent...
British Military Dog Who Lost a Paw Tackling Al-Qaeda Insurgent Awarded Dickin Medal Welcome to Funneee Pets channel. If you like cute and funny pets compila...
youtube.com",,,,
shush,@Kingmoa12,2020-11-25T21:30:02.000Z,"Replying to 
@GrarfiledI can vouch I was a victim of the secret raid on Al-Qaeda",,1,,1
KrazZz23,@KraZzZ_23,2020-11-25T21:26:22.000Z,"Replying to 
@redworld22
 and 
@PedroMCasalsCuales terroristas? Al-qaeda o ISIS? Esos van por su cuenta... EEUU apoya a los kurdos, los cuales tienen décadas siendo oprimidos por las mayorías y víctimas de múltiples limpiezas étnicas.",🐘,1,,
Bo Lox,@Bo_Lox_,2020-11-25T21:12:34.000Z,"Replying to 
@spikedonlineThe choice:

1) An abrasive pussy-grabbing narcissist who avoided wars and improved the US economy pre COVID

2) A dementia suffering child lover who enriched his family on an illegal coup in Ukraine, sucked up to China, and whose team engaged Al-Qaeda to drive Syrian chaos

???",,1,,
Andrew,@AndraezAndraez,2020-11-25T21:12:04.000Z,"-Signed the Monsanto Protection Act into law.

-Started a new phase of the war in Iraq.

-Initiated and oversaw a 'Secret Kill List'.

-Pushed for war on Syria while siding with al-Qaeda.

-Knowingly funded a designated al-Qaeda affiliate.

-Backed neo-Nazis in Ukraine.",,1,1,1
Steve Jail,@Biyombonesaw,2020-11-25T21:11:29.000Z,"Replying to 
@AltairAlMalik
 and 
@richimedhurstThe American military vastly overshadows the evil of Al-Qaeda or ISIS",,,,
Diegoloce,@DiegoloceK,2020-11-25T20:59:48.000Z,"Replying to 
@elmundoesNo se olvida el engaño que trató de hacer AzNar* presionando incluso a Naciones Unidas para que emitiera un documento que dijera que los asesinatos del 11-M fueron de autoría* etarra cuando fue Al-qaeda quien los perpetró.",,,,
ACAB,@plungerman,2020-11-25T20:54:53.000Z,FBI Uncovers Al-Qaeda Plot To Just Sit Back And Enjoy Collapse Of United States https://theonion.com/fbi-uncovers-al-qaeda-plot-to-just-sit-back-and-enjoy-c-1819576375/amp…,,,,
Wiil Wadani,@WiilWadani2,2020-11-25T20:49:16.000Z,"Where were you, when Obama/Biden admin allowed TPLF led Ethiopian gov to spy on U.S citizens inside the U.S with impunity. So don't tell the Ethiopian to negotiate with terrorists. Would you suggest Biden negotiate with Al-Qaeda/ISIS??Quote Tweet
Senator Chris Coons
@ChrisCoons
 · Nov 24
In the face of escalating conflict in #Ethiopia, I urged Prime Minister Abiy to pursue dialogue. I acknowledge calls for justice and accountability, but war is not the answer. Read more here: https://coons.senate.gov/news/press-releases/senator-coons-speaks-with-ethiopian-prime-minister-amidst-escalating-conflict…",,,,
Liz,@Liz71318642,2020-11-25T20:44:44.000Z,"Replying to 
@newsmaxHe's created situations that will lead to the escalation of old conflicts, the resurgence of Al-Qaeda, and the eventual need for the U.S. to enter bloody conflicts. He's also made us vulnerable to Russian aggression. Check current events, Newsmin.",,,,
Mehdi,@meyti_mahoumet,2020-11-25T20:44:11.000Z,"After “dismantling” Taliban and Al-Qaeda camps in Afghanistan, U.S allocated merely $150 million for Afghanistan's rebuilding. Only $1 million for Afghan Army building. Smh. Afghanistan will be left broke again. Corruption and militancy will inevitably return.Quote Tweet
Ishaq Khan Khakwani
@khakwan
 · 3h
After the 9 year war Soviets left Afghanistan in 1979, did Najibullah’s Govt fall because of non availability of Troops? No. It was stoppage of funding. Same expected now, after US troops leave. Would anyone Learn from History? No again",,,,
Mushtaq Ali,@Mushtaq_Ali_1,2020-11-25T20:35:46.000Z,"Replying to 
@Edward3320AK
 and 
@NegarMortazaviI support it without getting anything from Iran because they are on the right track. USA & Israel are a terrorist country that supports ISIS & al-Qaeda. For looting oil America has invaded Libya, Afghanistan, Iraq, Iran and Syria.",,,,1
﮼تركي،بن،علي،العويرضي,@Turki_AlOwerde,2020-11-25T20:32:36.000Z," Consider this well:

Qatar hosted the mastermind of 9/11 and protected him by smuggling him, and Iran hosted and still hosting al-Qaeda leaders, and here are the two countries that have been completely safe from Al Qaeda and ISIS attacks.",,1,3,3
Fredo Xantana,@Tey_Gunna,2020-11-25T20:31:18.000Z,"Replying to 
@mikebtrippinMf look like an al-qaeda debriefing board",👹 💊 🔪,1,,
TELEMUNDO 52,@TELEMUNDO52,2020-11-25T20:30:08.000Z,"Agentes del FBI arrestaron a una mujer de Nueva Jersey la madrugada del miércoles bajo cargos federales por presuntamente brindar apoyo material a un grupo terrorista descrito como al-Qaeda en Siria, dijeron fuentes policiales a NBC New York.Arrestan a mujer con antecedentes militares por presunto apoyo a terroristas sirios
NUEVA JERSEY – Agentes del FBI arrestaron a una mujer de Nueva Jersey la madrugada del miércoles bajo cargos federales por presuntamente brindar apoyo material al Frente Al Nusra, un grupo terrorista...
telemundo52.com",,,,
albert garcia,@albertg70453438,2020-11-25T20:28:53.000Z,"Replying to 
@dbonginoBig surprise democrats think al-Qaeda is our side ! 

Of course American hating democrats are sympathetic towards Islamic terrorists !",,,,
Arab News,@arabnews,2020-11-25T20:25:31.000Z,"#OPINION: Three #Iranian institutions have long been instrumental in helping Al-Qaeda: The IRGC, its elite Quds Force and the Intelligence Ministry, writes 
@Dr_RafizadehIran’s close connections to Al-Qaeda should surprise no one
Members of the Iranian revolutionary guard march to commemorate the anniversary of the Iran-Iraq war (1980-88), Tehran, Sept. 22, 2011. (Reuters)
arabnews.com",,1,6,3
"Tito ☭
#antiwokeleft :)",@adxtrjuseniorit,2020-11-25T20:12:26.000Z,"Never forget when Margaret Thatcher endorsed Mujahideen a.k.a the future Al-Qaeda, to destroy Afghanistan and doing falseflags, endorsed by the US and puppets.

Never forget whitewash of NYT, due the double standard with the news on the death of Maradona.From 
Tito ☭
#antiwokeleft :)
Quote Tweet
The New York Times
@nytimes
 · Apr 8, 2013
The full NYT obituary for Margaret Thatcher http://nyti.ms/ZviwmY",⛰ 🐈 🐕 ⛰ 🐈 🐕,1,21,59
Peter,@MasonPeterJ,2020-11-25T20:10:07.000Z,"RT #FightExtremism ""On October 21, 2020, HTS announced through its Sharia Council that it disavowed Assem Barqawi a.k.a. Abu Muhammad al-Maqdisi. Al-Maqdisi is a prominent Salafist ideologue and was a close confidante of al-Qaeda founder Abu Musab al… """,,,,
JoanHathaway,@JoanHathaway,2020-11-25T20:05:33.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
"Tito ☭
#antiwokeleft :)",@adxtrjuseniorit,2020-11-25T19:55:47.000Z,"Recuerden que TNYT es parte del establishment, así como fueron muy cuquis dedicando un obituario con flores cuando murió Margaret Thatcher y olvidando que bendijo a los futuros Al-Qaeda.From 
Pipendorf
Quote Tweet
The New York Times
@nytimes
 · 5h
Diego Maradona, the Argentine who became one of soccer’s greatest players, has died at 60. His legend was marred by his addiction and excesses. https://nyti.ms/2V3HBp8
Show this thread",⛰ 🐈 🐕,1,,4
Eric Gerlach,@egerlach,2020-11-25T19:54:01.000Z,"""They join the group now because it gives them a sense of belonging. They have this inner-person side that they want to be, but they're afraid to be.

"" ... The Proud Boys are the vehicle that attracts those people and accepts them in."" 

The Proud Boys are white Al-Qaeda.Quote Tweet
Elle Reeve
@elspethreeve
 · 10h
This is a look not just at a guy in the Proud Boys, but also the joking-not-joking pose of the new far right, even, as in this interview, when talking about violent threats.  

w @DoctorGuff & @DebBrunswickCNN

https://amp.cnn.com/cnn/2020/11/25/us/ex-proud-boys-member/index.html?__twitter_impression=true…
Show this thread",,,,
"Elvis mom
#KAG WWG1WGA #Trump202Q",@christinerich1,2020-11-25T19:53:01.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoThe following media includes potentially sensitive content. Change settings
View",,,,
marisabel Mancebo,@marisabel_ma,2020-11-25T19:49:23.000Z,"Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in Syria 
https://api.parler.com/l/4zKThe following media includes potentially sensitive content. Change settings
View",👇,,,
CEP,@FightExtremism,2020-11-25T19:49:02.000Z,"On October 21, 2020, HTS announced through its Sharia Council that it disavowed Assem Barqawi a.k.a. Abu Muhammad al-Maqdisi. Al-Maqdisi is a prominent Salafist ideologue and was a close confidante of al-Qaeda founder Abu Musab al-Zarqawi. https://buff.ly/31E4aUT",,,,1
J,@ItsAboutTime45,2020-11-25T19:15:23.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,3,3,7
Sonlight,@BillyBoysDaddy,2020-11-25T19:14:01.000Z,"Replying to 
@dbonginoAl-Qaeda is a terrorist organization.

National Security Adviser must be off his rocker??

Duh.",,,1,4
Aaron Richards,@arun_richards,2020-11-25T19:11:06.000Z,"Replying to 
@Peter_Pilz
 @RedaktionZack
 and 4 othersWarum will sich ein ausländischer Agent einer örtlichen Polizei stellen? Da ist doch was faul an der Geschichte.

Oder machen das Mossad Agenten auch so, nachdem sie im Iran Al-Qaeda Leute eliminieren? ",🤔,,,
Helsingor,@Helsingor,2020-11-25T19:11:00.000Z,"Moving away from #AmericaFirst and towards a middle course between being a satrapy of China and a state sponsor of al-Qaeda.Quote Tweet
Raheem Kassam
@RaheemKassam
 · 7h
“We need to strike a middle course – one that encourages China’s rise..."" said Biden's pick for National Security Advisor.

These people are dangerous, demonic, and treasonous. 

https://thenationalpulse.com/politics/biden-nat-sec-adviser-china/…",,,,
GreenAF1776,@GreenAF1776,2020-11-25T19:08:40.000Z,"Replying to 
@dbongino
 and 
@DonnaWR8AL-Qaeda will never be on “our” side! Maybe him and Bidens fake administration team.",,,,
Tony Tuff,@TonyTuffFacts,2020-11-25T19:06:15.000Z,"What the fuck did you just fucking say about me, you little bitch? I’ll have you know I graduated top of my class in the Navy Seals, and I’ve been involved in numerous secret raids on Al-Qaeda, and I have over 300 confirmed kills. I a..",,,,
Classical Music,@classic1879,2020-11-25T19:00:21.000Z,"Replying to 
@RTultimahora ataca a Siria porque es aliado de ISIS Al-Qaeda 

Cuando vean éstas banderas 
 son ISIS Al-Qaeda",☕ 🚬 ⏳ 💛 💛,,,
Institut Montaigne_EN,@i_montaigneEN,2020-11-25T19:00:16.000Z,"  #Sahel: ""The upcoming elections in several countries could actually represent an additional opportunity for Al-Qaeda"" explains 
@GuillaumeMayor
.Sahel’s Security Crisis: the Fragile (Im)balance
Analysis by Guillaume Soto-Mayor, Lead research engineer at CNAM Security and Defense Research Team, for Institut Montaigne
institutmontaigne.org",🌍,,1,
Emmy Winner & President-Elect QueenRobina,@QueenRobina,2020-11-25T18:51:23.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
elias knox,@eliasknox10,2020-11-25T18:48:40.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
