UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
noisecontrol,@noisecontrol1,2020-11-25T17:17:51.000Z,"Replying to 
@dbonginoYes. We created Al-Qaeda",,,,
jeff outland,@JeffOutland,2020-11-25T17:17:48.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
George Mentz JD MBA,@GeorgeMentz,2020-11-25T17:15:12.000Z,"New York Gazette ™ Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria: http://bongino.com - Red flags galore. http://dlvr.it/RmQ81SThe following media includes potentially sensitive content. Change settings
View",,,,
Scott Stafford,@ScottyTamale,2020-11-25T17:14:25.000Z,"DEMOCRATS *WANT* TERRORISM TO FLOURISH. 

Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
"Morrighan
Red
LivesMatter #KBF",@LadyMercia,2020-11-25T17:13:04.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",🦅 🐿,2,,3
MariaCecilia11,@Ma_Cecilia04,2020-11-25T17:11:04.000Z,"Sullivan, quien ayudó a negociar el desastroso acuerdo nuclear con Irán, hoy escogido por Biden como consejero de seguridad nacional, dice que Al-Qaeda en Siria, está de nuestro lado. 

De regreso al pantano.Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,1
ኮrኩማ Afriካ,@Y81770681,2020-11-25T17:10:28.000Z,"Replying to 
@valentinaraggi
 @Angelo63205107
 and 2 othersDifendere il TPLF è uguale a difendere al-shabab, ISIS o al-qaeda si dovrebbe solo vergogna di quel che dice, non ci devono essere motivi per non dichiarare guerra.
Dopo tutto non potevo aspettarmi qualcosa da una persona che non conosceva chi era il TPLF prima di ieri...",,1,,
Ethan Hawkley,@ethan_hawkley,2020-11-25T17:09:40.000Z,"al-Qaeda North African Names New Leader After French Assassinational-Qaeda North African Names New Leader After French Assassination
Abu Obaida Yusuf al-Annabi is an Algerian national and is replacing Abdelmalek Droukdel who was killed by French forces in June.
sofrep.com",,,,
Tony Tuff,@TonyTuffFacts,2020-11-25T17:04:15.000Z,"What the fuck did you just fucking say about me, you little bitch? I’ll have you know I graduated top of my class in the Navy Seals, and I’ve been involved in numerous secret raids on Al-Qaeda, and I have over 300 confirmed kills. I a..",,,,
CEP,@FightExtremism,2020-11-25T17:01:52.000Z,"The exact date of Zawahiri’s death wasn't released, but a Pakistani official claims Zawahiri died sometime in November 2020. It is suspected that Saif al-Adel, one of Zawahiri’s chief deputies, is next in line to succeed Zawahiri as the leader of al-Qaeda. https://counterextremism.com/threat/al-qaeda",,,12,9
John D Marvin,@JDMarvin,2020-11-25T17:01:20.000Z,"MUST READ: Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in SyriaBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,3,1
Addisu Geleta,@Addis83709441,2020-11-25T16:56:47.000Z,"Replying to 
@jakejsullivanSo why don’t US start dialogue with Al-Shabab and al-Qaeda on the table. This works for you?",,,,
s mariam,@humaniteaspoon,2020-11-25T16:54:40.000Z,"Framed as members of Al-Qaeda, Muslim men working as tailors, electricians, and masons arrested and tortured by NIA and BSF. The one who is being said to be head of the group has a mental disorder. UAPA has been used to manufacture a crisis of security.Most Bengal Muslims Arrested by NIA Are Poor Masons and Workers, Says Fact-Finding Team
NIA conducted searches and raids at Murshidabad, West Bengal on 19 September and arrested 10...
clarionindia.net",,,2,3
Crime in NYC,@CrimeInNYC,2020-11-25T16:54:33.000Z,"FBI agents arrested a New Jersey woman on charges of providing material support to al-Qaeda in Syria.
She served in the National Guard and on Army active duty for 14 months from late 1984 to early 1986. She received an “other than honorable discharge"" in lieu of a court martial.",,1,,
Casey Sherman,@shermham,2020-11-25T16:50:03.000Z,"Replying to 
@shermham
 @OnJah12345
 and 
@Come_On_Groundwas terrorism the right prism through which to view Osama Bin Laden? No. Bin Laden and al-qaeda came to power because America decimated the middle east, destabilized governments in the region and funded anti-soviet groups. The ""War on Terror"" is a farce.",🦆,1,,
Ilija Zivotic MP,@IlijaMp,2020-11-25T16:19:37.000Z,"Al-Qaeda's leader Ayman al-Zawahiri has died, reports claim https://dailymail.co.uk/news/article-8970231/Al-Qaedas-leader-Ayman-al-Zawahiri-died-reports-claim.html?ito=amp_twitter_share-top… via 
@MailOnlineAl-Qaeda's leader Ayman al-Zawahiri has died, reports claim
Security sources in Pakistan and Afghanistan told Arab News that Zawahiri was dead, possibly succumbing to asthma following 'breathing issues'.
dailymail.co.uk",,,,1
WCBS Newsradio 880,@wcbs880,2020-11-25T16:18:15.000Z,"A New Jersey woman is charged with sending money to a terrorist group in Syria affiliated with al-Qaeda, federal prosecutors say.New Jersey woman accused of providing money, weapons advice to terrorist group in Syria
A New Jersey woman is charged with sending money to a terrorist group in Syria affiliated with al-Qaeda. The FBI arrested 53-year-old Maria Bell of Hopatcong, according to the U.S. Attorney’s Office.
radio.com",,,,
SaintHeartwing,@SaintHeartwing,2020-11-25T16:16:04.000Z,"Replying to 
@Theopenofmind1
 @SteveSaysSo1
 and 2 othersBut it wasn’t Saudi Arabia that attacked us. It was Al-Qaeda.",,1,,
MHA•,@Mhusseinn1,2020-11-25T16:14:25.000Z,3- we will defend Sinjar and Telfer and Ninawa and Kirkuk from the evils of Al-Saud and their militias like we did against Al-Qaeda and isis 5/6,,1,2,17
Tom Worth,@tomworthjr,2020-11-25T16:07:51.000Z,"Often had this thought. The knock on Dems is that they are soft on the military, both defense as well as in projecting power & security abroad. Think we saw that with Clinton & Obama w/ rapid rise of al-Qaeda & ISIS. But it is not in dispute that GOP admins leave HUGE messes.Quote Tweet
Julian Zelizer
@julianzelizer
 · 7h
1977, 1993, 2009, 2021--new Democratic presidents don't tend to step into the best situations. A pattern of being the party that the nation turns to in moments of crisis.
Show this thread",,,,
Tanner,@TCarson__,2020-11-25T16:05:05.000Z,Is Donnie Tyndall’s Twitter account still under the control of Al-Qaeda,,,,1
Stephen Phillips,@Stephen67452628,2020-11-25T16:04:28.000Z,"Replying to 
@JoeBidenHow they gonna kill something they fund. When the war ended, bin Laden organized the al-Qaeda organization to carry on armed jihad in other venues, primarily against the United States—the country that had helped fund the mujahideen against the Soviets.",,,,
Mabarhule,@AmistoKhoza,2020-11-25T16:00:39.000Z,"Replying to 
@Oscar_T_HameseYou just reminded me of AL-Qaeda.",,,,
Afghanistan Times,@AfghanistanTime,2020-11-25T15:55:34.000Z,"Editorial: Nearly two decades after a US-led military campaign toppled the Taliban regime for hosting al-Qaeda, the ultra-radical Islamic State (IS), also known as Daesh extremist group is a major threat with launching attacks insideEditorial: Daesh still a big threat - Afghanistan Times
Nearly two decades after a US-led military campaign toppled the Taliban regime for hosting al-Qaeda,
afghanistantimes.af",,,,
Davicho,@Davicho266,2020-11-25T15:53:18.000Z,"Replying to 
@CoronaGone
 and 
@DrEricDingJust imagine if Al-Qaeda had flown a plane into a building with 3000 people *every day.* The amount of death really is mind-boggling",,1,,3
Lukas Ohl,@lukas_ohl,2020-11-25T15:49:07.000Z,"Replying to 
@JackFrederick99
 @jcbonthedl
 and 
@dpinsenYes, Al-Qaeda and the IRA are good examples. Try looking for more discreet groups. For example, university faculty & graduates ""conspire"" to exclude non-grads from jobs, even when the job doesn't require a degree.",,,,
SAR,@SarnaHN,2020-11-25T15:44:23.000Z,"Replying to 
@wikidioherrera2Y aun dirigente de  Al-Qaeda 
.",🤣,,1,3
SirBobofAmbler,@SirBobofAmbler,2020-11-25T15:38:26.000Z,"Replying to 
@ABC""the base"" = Al-Qaeda",,,,
joseph wysocki,@rumrot,2020-11-25T15:30:24.000Z,"Al-Qaeda appoints new North Africa chief after predecessor killed by France's military http://almon.co/3f13 via 
@AlMonitorAl-Qaeda appoints new North Africa chief after France kills leader
Abu Obaida Yusuf al-Annabi succeeds Abdelmakel Droukdel, a founder of al-Qaeda in the Islamic Maghreb who was killed in June.
al-monitor.com",,,,
Paul Larudee,@larudee,2020-11-25T15:30:17.000Z,"Sullivan also emailed HRC on February 8, 2012 ""In Syria, al-Qaeda is on OUR  side."" [Thanks, Wikileaks, for publishing what our government is really doing.]Quote Tweet
Gregory
@Rasputinish
 · Nov 24
As @JoeBiden's Admin prepares for Office with Anthony Blinken & Jake Sullivan slated for #StateDept & #NSA we should remember Sullivan advised bloodthirsty Sec of State @HillaryClinton in Libya while Blinken wished #US ""took out"" #Syrian Gov't & Pres #Assad in 2015!
#WarMongers",,,,2
Roots of Reality,@_RootsofReality,2020-11-25T14:12:09.000Z,"nor historical evidence to support such a claim. In addition, before the attacks al-Qaeda already had a long history of planning and attacking the US. Finally, an investigation into the attacks also proved that al-Qaeda was in fact responsible, and the former leader of the...",,1,,
Roots of Reality,@_RootsofReality,2020-11-25T14:12:09.000Z,"In 2001, the terrorist organization al-Qaeda committed the 9/11 attacks against the United States. Unfortunately, to make matters worse false conspiracy theories began to spread claiming it was the US Government that committed the attacks. In reality, there is no scientific...",,2,,
AjoKemi,@ajokemii_,2020-11-25T14:05:30.000Z,"remove barbs and put beyhive. they’re the real al-qaedaQuote Tweet
Who
@fair__licks
 · 13h
Ngl BTS Army, Barbs, Elites and Wizkid Fc could be considered terrorist groups",🍑,,,
Lucas GC,@lguticap,2020-11-25T14:03:14.000Z,"El ISIS, los Talibanes, Al-Qaeda, Boko-Haram y toda la pesca se están frotando las manos.Quote Tweet
Joe Biden
@JoeBiden
 · Nov 24
America is back.",🔻,,,
The Soufan Center,@TheSoufanCenter,2020-11-25T14:02:52.000Z,"The Taliban and al-Qaeda continue to cooperate closely, and most observers expect the relationship to grow stronger after a U.S. drawdown, provoking concerns of a hasty withdrawal. #IntelBriefIntelbrief: How Will a U.S. Drawdown Impact Afghanistan? - The Soufan Center
Last week, Acting Secretary of Defense Christopher Miller announced a drawdown of U.S. troops in Afghanistan, shifting to 2,500 troops in early January just before President-elect Joseph R. Biden,...
thesoufancenter.org",,,9,6
Track Persia,@TrackPersia,2020-11-25T14:00:45.000Z,"The myth that the Shiite Iranian regime and Sunni al-Qaeda are bitter enemies -The myth that the Shiite Iranian regime and Sunni al-Qaeda are bitter enemies - Track Persia
By Track Persia November 25, 2020 Two Israeli operatives killed Abu Muhammad al-Masri, a senior Al Qaeda leader in the line of succession in Tehran last August at the behest of the United States. The...
trackpersia.com",,,3,3
New Age Islam,@NewAgeIslam,2020-11-25T13:58:31.000Z,"Macron's Hailing Of The Provocative Cartoons Eclipsed His Message Targetting Political Islam, Al-Qaeda, Daesh And The Muslim Brotherhood #Islam #Muslims https://bit.ly/3m6RVs7 New Age Islam",,,,
New Delhi Times - Assam Bureau,@NDTAssam,2020-11-25T13:56:00.000Z,"Israel takes out Al-Qaeda terrorist 

#Israel takes on #terrorism #Al- Qaeda 
@UN
 @IsraeliPMQuote Tweet
New Delhi Times
@NewDelhiTimes
 · Nov 23
Israel takes out Al-Qaeda terrorist

#Israel #AlQaeda #Terrorism https://newdelhitimes.com/israel-takes-out-al-qaeda-terrorist/…",,,,
CapeTalk on 567AM,@CapeTalk,2020-11-25T13:36:36.000Z,"""Because I had no control over anything, I wasn't sure if I would survive tomorrow. I decided that I need to focus on something... I decided that the only thing certain is me.""

- Al-Qaeda hostage survivor Steve McGown[WATCH] Former Al-Qaeda hostage opens up about his six years in captivity
South African Steve McGown was captured by Al Qaeda for six years in Mali. He's the extremist group’s longest-held surviving captive.
capetalk.co.za",,,,1
𝔎𝔦𝔫𝔤 𝔬𝔣 𝔓𝔩𝔢𝔟𝔰,@Rabidsynergy6,2020-11-25T13:30:52.000Z,"Replying to 
@Rabidsynergy6
 @JodyShenn
 and 
@saimatoor& comparing Jordan Peterson (a well-intentioned person who genuinely cares about people) to al quite Al-Qaeda is simply ridiculous bro.",👑,1,,2
tinybird,@REALTinyBird,2020-11-25T13:30:04.000Z,"Replying to 
@ScottMGreerthats because half of """"""al-qaeda"""""" are israeli spies",,,,2
Scott Greer 6’2” IQ 187 Whitepilled,@ScottMGreer,2020-11-25T13:28:41.000Z,"In contrast, Biden’s NSA pick Jake Sullivan said al-Qaeda “is on our side in Syria.” https://thenation.com/article/archive/trump-syria-withdraw-troops/…Quote Tweet
Richard Hanania
@RichardHanania
 · 19h
""Qassem Soleimani was assassinated because his successful military campaigns against ISIS and al Qaeda were the best argument against the US needing to remain in the Middle East to fight terrorists.""

Provocative. https://caitlinjohnstone.substack.com/p/the-correct-response-to-give-biden…",,3,10,121
#TechStoa,@techstoa,2020-11-25T13:21:21.000Z,"and the American public came to see al-Qaeda and other Islamic terrorist organizations as the greatest danger they faced—a grave miscalculation. Since 9/11, 103 people have been killed in the United States by Islamic terrorists, acting either alone or in groups.",,1,1,2
فات,@Fatty_K48,2020-11-25T13:18:03.000Z,Covid sucks who misses Al-Qaeda??,,,,
Self Declared Interim President Jon Gold,@911JusticeNow,2020-11-25T13:13:35.000Z,"Replying to 
@Ali_H_SoufanThe U.S. have supported Al-Qaeda and ""Al-Qaeda Linked Groups"" in the Balkans, the Caucuses, Syria, Libya, and so many other places. Who is more dangerous Ali?",,1,,
